"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
FALSE,7,9,7,3,2,2,738,1,0,0,0,0,121497,15354,106143,0,561,13646,3309,10337,0,3987,4,10566,1560,481,21,41,21660,8623,11294,1742,13274,11750,1,0,167,9,4,1,145,17,0,0,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,26,4,10,12,4,3,792,6,2,1,0,0,292442,5214,255122,32107,879,43971,526,33740,9703,3506,1,29787,27290,6422,19,20,31019,22658,8080,280,24666,17850,2,2,246,16,4,4,4354,18,0,0,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,8,7,6,3,1,3,614,0,0,0,0,0,128482,4421,115620,8439,0,15009,2877,10950,1182,6093,1,12669,11184,2867,22,7,26557,5065,21261,230,13040,9658,1,0,102,45,24,7,243,15,0,0,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,0,8,0,0,0,0,252,0,0,0,0,0,34859,26773,7603,484,0,4946,4153,309,484,400,1,0,0,0,0,0,11702,5655,5962,84,4469,3800,0,0,52,0,0,0,37,9,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,4,3,12,2,1,1,657,0,0,0,0,0,40143,27284,9989,2868,0,7011,4865,1280,865,10521,4,13698,6838,5054,11,13,18243,3728,12116,2397,8485,7150,2,0,46,0,0,0,145,13,0,0,6,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
TRUE,5,8,11,2,1,1,445,0,0,0,0,0,192013,31458,159687,868,900,14992,3041,11083,868,11003,1,0,0,0,0,0,27506,5936,20845,725,13470,11615,5,1,168,11,1,10,1809,17,0,0,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,6,3,7,3,1,1,911,0,0,0,0,0,95047,2769,88497,3780,0,12818,2214,9611,992,5305,1,10612,1835,1835,14,9,19989,5379,12897,1712,10371,8875,1,0,61,48,26,12,263,13,0,0,8,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,3,9,11,0,1,0,334,0,0,0,0,0,76924,3516,73408,0,236,14788,1990,12797,0,2127,2,0,0,0,0,0,20069,3475,16486,108,9591,7605,2,0,99,1,0,1,1300,13,0,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,4,5,4,2,1,1,662,0,0,0,0,0,76513,6883,69630,0,593,11052,2114,8938,0,3217,3,5802,10958,7700,10,16,15314,2798,11640,875,9992,8450,3,1,114,3,0,2,133,12,0,0,7,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
TRUE,7,9,13,3,2,2,660,1,0,0,0,0,110892,82561,19313,9018,0,31199,25096,3825,2278,515,1,0,0,0,0,0,30146,8846,20850,450,16246,15750,2,0,64,6,2,4,229,17,0,0,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,10,11,4,2,1,4,497,0,0,0,0,0,155966,47221,100396,8348,0,25031,11812,11074,2144,24454,1,0,0,0,0,0,59346,15342,40134,3869,13858,13908,0,0,46,94,59,35,6091,18,0,0,9,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,9,1,5,7,1,2,1052,0,0,0,0,0,90450,69770,16958,3722,774,13915,11931,1131,852,5189,1,5884,13101,3702,12,14,12558,3334,9049,173,10247,6875,1,1,37,75,33,11,263,13,0,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,5,6,9,3,1,1,930,0,0,0,0,0,83696,20432,58266,4998,0,10490,2441,6901,1148,8752,1,19349,2055,753,19,11,24916,4882,16893,3140,9086,8500,0,0,29,80,59,8,128,13,0,0,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
